Key,Description,Standard,EN
SAY.Chapter1.874.Sophie,,很多事情，作为不是这所学校学生的你，一个旁观者，无法真正理解我们所经受的压力。,"You are not a student of this school, you're a bystander. As such, you can't possibly understand the pressure we're under."
SAY.Chapter1.879.,,New Info:\nThe school might have put pressure on students.,New Info:\nThe school might have put pressure on students.
SAY.Chapter1.875.Sophie,,不过不管怎样，感谢您的支持，我们会好好使用筹得的善款。,"Anyway, thank you for your support. We will make good use of the donations."
SAY.Chapter1.887.Sophie,,不再考虑一下吗？这么美的花束，送人或用于装饰房间都是不错的选择哦！,Please reconsider! This sort of beautiful bouquet is a good choice for a gift or your own home.
SAY.Chapter1.888.Protagonist,,这可是葬礼花束……,This is a funeral bouquet...
SAY.Chapter1.889.Protagonist,,不过，为什么购买花束所获得的钱会捐赠到反PUA组织？\n我的意思是，Rebecca的死和PUA有什么关系吗?,"But why is the money being donated to anti-PUA organizations? I mean, does Rebecca's death have anything to do with PUAs?"
SAY.Chapter1.890.Sophie,,这么美的花束，送人或用于装饰房间都是不错的选择哦！,This sort of beautiful bouquet is a good choice for a gift or your own home.
SAY.Chapter1.891.Protagonist,,啊这……{i}（不打算正面回答吗。） {/i},…{i} (Are you not going to answer directly.) {/i}
SAY.Chapter1.892.Sophie,,如果您没有什么别的事的话那我就失陪了，这束花我今天一定要卖出去。,"If there is nothing else you need, then I'll leave. I've got to sell these flowers today."
SAY.Chapter1.794.Protagonist,,一幅女子黑白画像，应该是用来办追悼会。,A black and white portrait of the kind sometimes used in memorial services.
SAY.Chapter1.795.Protagonist,,能办这么盛大的追悼会，她不会就是那个谁吧？可是这都过去两年了。,Isn't she? Who else could command such a grand memorial service? But it's been two years.
SAY.Chapter1.798.Protagonist,,Rebecca Rochester，看起来确实十分具有魅力。,Rebecca Rochester looks quite attractive indeed.
SAY.Chapter1.799.Protagonist,,比寻常学生更会打扮，但是并不会让人感到张扬，看起来也知书达理落落大方，想必应该成长于一个有文化的中产阶级家庭。,"She has better fashion taste than ordinary students, but without giving the impression that she's ostentatious. Seems to be knowledgeable and generous. She must have grown up in a literate, middle-class family."
SAY.Chapter1.801.Protagonist,,能让这么多人自发为地她哀悼，想必的确是个优秀的人才。,She must have been a figure of some significance for so many people to mourn her spontaneously.
SAY.Chapter1.991.,,New Info:\nRebecca is a truly perfect girl.,New Info:\nRebecca is a truly perfect girl.
SAY.Chapter1.802.Protagonist,,再多找人聊聊，了解关于Rebecca Rochester的更多细节。,Talk to more people and learn more details about Rebecca Rochester.
SAY.Chapter1.766.Protagonist,,我市著名高校YIT，为当年最早一批从城市中心搬到郊区的大学。,"YIT, a famous university in this city, was the first center of higher education that moved from the city center to the suburbs."
SAY.Chapter1.767.Protagonist,,教育局领导打着让学生远离城市喧嚣，有一方读书净土的名号，实际却因郊外地皮廉价便宜，远离闹市商区学生无处可去，\n就只能乖乖待在校园，管理方便，所以让许多大学移址郊区。,"The Bureau of Education announced that the moves would provide a quiet place to study, but the true reason was that suburban land is cheap, and since students have nowhere to go, they'll tend to stay on the campus. Thus, many universities were moved to the suburbs."
SAY.Chapter1.775.Protagonist,,不过看学校后山这么大一片水域，发生一两件溺亡案件也并不会令人感到意外。,It is not entirely surprising that one or two cases of drowning have occurred when there's such large body of water behind the campus.
SAY.Chapter1.774.Protagonist,,现在我的位置是835号公交车站，连接商学院的大门以及环湖大道。,"My current location is  Bus Stop No. 835, which provides service to the business school and Lake Road."
SAY.Chapter1.776.Protagonist,,大学建筑是环湖而建，沿着湖边一直走就能逛完整个学校，没有建得弯弯绕绕真是帮了大忙。,"The university building is built around the lake, and you can walk around the whole school along the shore."
SAY.Chapter1.787.Protagonist,,黑白画像，是在办悼念会吗？,A black-and-white portrait of the sort you see in funerals... is someone holding a memorial service?
SAY.Chapter1.788.Protagonist,,让我找个人问问是怎么回事。,Let me find someone to ask about what's going on.
SAY.Chapter1.790.,,"Mission: ""Find someone to know what is happening.""","Mission: ""Find someone to know what is happening."""
SAY.Chapter1.815.Sophie,,Rebecca学姐即使已经回到天堂，也永远活在我们心中！失去她毫无疑问是我校的巨大损失。,"Even though Rebecca has gone to a better place, she will always live in our hearts! Her passing is, without a doubt, a huge loss for our school."
SAY.Chapter1.818.Protagonist,,{i}（你们对她的爱已经上升到如此的高度了吗?）{/i}所以她为什么去世？疾病？车祸？,{i}(Do you really cherish her that much?){/i}May I ask how she died? Disease? Car accident?
SAY.Chapter1.821.Sophie,,据说Rebecca学姐十分偏爱这片湖的风景，毕业典礼前日凌晨，一定也是想来对这片景色道别吧。,"People say that Rebecca loved the scenery of this lake. She must have wanted to say goodbye to it on that day, in the early morning before her graduation ceremony."
SAY.Chapter1.820.Sophie,,因此才不幸失足落水，葬身于这片平静的湖面，隔日被发现时，身体已经被泡得浮肿了。,"Tragically, she fell and lost her life in these decepitvely calm waters. When she was found the next day, her body was soaked and swollen."
SAY.Chapter1.863.,,New Info:\nRebecca was dead in the midnight.,New Info:\nRebecca was dead in the midnight.
SAY.Chapter1.819.Protagonist,,凌晨？你们学校宿舍没有宵禁吗？我记得我上大学的时候，宿舍11点半就会熄灯锁门。,"Early morning? I take it there's no curfew in your school dorms? When I was in college, the dormitory managers would turn off the lights and lock the doors at 11:30."
SAY.Chapter1.822.Sophie,,我听说Rebecca学姐大学最后一个学期并没有住在宿舍。想必是有什么私人原因吧。,"From what I hear, Rebecca did not live in the dorms in her last semester of school. She must have had her reasons."
MENU.Chapter1.825,,为什么你们到现在才为她举办悼念会?,Why are you only holding a memorial service now?
MENU.Chapter1.826,,为什么要在这里举办悼念会？,Why hold a memorial service here?
SAY.Chapter1.829.Protagonist,,她在两年前不就已经去世了吗?,Hasn't it been two years since she passed away?
SAY.Chapter1.832.Sophie,,最近学校公开宣布，决定在推平湖水后在上面建立新的大楼。,"Recently, the school announced that it will break ground for  a new building on the lake, after draining the water level."
SAY.Chapter1.831.Sophie,,并且所有与Rebecca有交集的学生都将在今年离开校园，于是我们商议后决定在学校开展毕业典礼同时举办悼念会。,"On top of that, all the students who interacted with Rebecca will be gone after this year. So following some discussion, we decided to hold a memorial service before that time's gone and forgotten."
SAY.Chapter1.830.Sophie,,让不幸遇难，没能参加毕业典礼的Rebecca学姐能和我们一起毕业。,"We hope that the unforunate Rebecca,  who failed to attend her own graduation ceremony, can graduate with us."
SAY.Chapter1.834.Protagonist,,一般不都会选择礼堂之类更严肃庄重的室内场地吗？况且还遇到今天下雨，应该会很不方便吧。,"Don’t memorials usually favor more serious indoor venues, such as auditoriums? Besides, things might turn out poorly if it rains today."
SAY.Chapter1.841.Sophie,,学校即将在这里建立的新教学楼，并以Rebecca的名字命名。,The new classroom building that the school will construct here will be named after Rebecca.
SAY.Chapter1.842.Sophie,,并且Rebecca生前十分偏爱湖边的景色，经常在这边晨读散步，所以我们一致认为湖边就是最佳场所。,"In life, Rebecca enjoyed the lakeside scenery very much, and often took morning walks here. So we all agreed that the shore was the best place."
SAY.Chapter1.844.Protagonist,,所以这边才摆放了白色花束。{i}（我还以为是你们年轻人的新潮流）{/i},That's why the white bouquets are placed here. {i}(I thought it was a new trend among young people!){/i}
SAY.Chapter1.847.Sophie,,这些花束同时也是为义卖活动所准备的，仅用十元钱就可以购得Rebecca纪念花束。\n整场悼念会所获得的收入我们会悉数捐献给高校反PUA公益组织。,These bouquets are also prepared for the charity sale. You can purchase Rebecca commemorative bouquets for only ten dollars. We will donate all the income to the anti-PUA charity organization of colleges and universities.
SAY.Chapter1.846.Protagonist,,反PUA公益组织？请解释一下，我不熟悉这个概念。,"Anti-PUA charity organization? Please explain, I am not familiar with this concept."
SAY.Chapter1.845.Sophie,,PUA全称Pick Up Artist。\n指通过搭讪以及语言技巧对他人进行人格控制甚至人身控制。,PUA stands for Pick Up Artist. It refers to the personality control and even personal control of others through chatting and language skills.
SAY.Chapter1.849.Sophie,,通过反PUA组织能够更有效宣传PUA对女性的迫害，减少更多类似Rebecca学姐这样的惨案发生。,"Through anti-PUA organizations, PUA’s persecution of women can be more effectively promoted, and more tragedies like Rebecca can be reduced."
SAY.Chapter1.867.,,New Info:\nDid Rebecca ever suffered PUA?,New Info:\nDid Rebecca ever suffered PUA?
SAY.Chapter1.850.Protagonist,,惨案？你刚刚说Rebecca不是失足落水吗？,Massacre? Did you just say that Rebecca fell into the water?
SAY.Chapter1.851.Sophie,,！,！
SAY.Chapter1.852.Sophie,,总而言之，您可以通过购买花束，来表达对Rebecca的惋惜。,"All in all, you can express your regret for Rebecca by purchasing bouquets."
MENU.Chapter1.855,,"购买花束,  算作我对这个反PUA组织的支持吧。",Buying it! Support for anti-PUA.
MENU.Chapter1.856,,"不买,  我今天没有带现金。","No, I didn't bring cash today."
SAY.Chapter1.905.Sophie,,那您自便。,Suit yourself.
SAY.Chapter1.1026.Protagonist,,没事，我只是来打个招呼。,"It's okay, I just came to say hello."
SAY.Chapter1.969.Sophie,,目前我没有更多消息可以告知。假如您没有什么要紧的事，我就要去继续工作了。,"I have no more news to tell at this time. If you have nothing important, I'm going to continue working."
SAY.Chapter1.1027.Protagonist,,听说你们是跟校方多次交涉才得到了举办权，看来是花费了许多时间和精力，没想到大学生还有这样的组织能力，真是令人惊叹。,I heard that you got the right to host after several negotiations with the school. It took a lot of time and energy. I didn't expect college students to have such organizational skills. It is really amazing.
SAY.Chapter1.1021.Sophie,,您过奖了，没有那么厉害。而且大部分都是学姐的父亲Rochester教授在与学校谈判，我们只不过是帮一些微不足道的忙而已。,"Thank you, it's not that great. And most of negotiation was made by Professor Rochester, Rebecca's father, we are just helping."
SAY.Chapter1.1028.Protagonist,,没想到老师会对学生举办的活动投入心血。,"Unexpectedly, the teacher would devote himself to the activities organized by the students."
SAY.Chapter1.1029.Sophie,,毕竟事关他的亲生女儿，我想也是人之常情。,"After all, it is about his daughter."
SAY.Chapter1.1030.Sophie,,况且Rochester教授因为女儿的事情也跟学校起过不少争执，现在他也没有必要再看学校眼色了。,"Besides, Professor Rochester had a lot of disputes with the school because of his daughter's affairs, and now he doesn't need to care about the school anymore."
SAY.Chapter1.1031.Protagonist,,这是怎么一回事？难道教授与学校之间发生了什么不愉快的事？,What's going on? Did something unpleasant happen between the professor and the school?
SAY.Chapter1.1032.Sophie,,本来学校是打算趁着暑假悄悄填湖，但教授提出来必须让他先祭奠一下学姐，并主动提出自己辞去行政职务，不再给学校添麻烦。,"Originally, the school planned to fill the lake quietly during the summer vacation, but the professor suggested that he must first pay a memorial to Rebecca, and decided to resign from the dean position so as not to cause trouble to the school."
SAY.Chapter1.1053.,,New Info:\nRobert sacrified his career to hold this event.,New Info:\nRobert sacrified his career to hold this event.
SAY.Chapter1.1033.Protagonist,,作为一个父亲，做出这样的举动也是情理之中。,"As a father, it is reasonable to make such a move."
SAY.Chapter1.1034.Sophie,,是啊，学校就这样失去了一位好老师，不知道以后学院会变成什么样子。,"Yes, the school just lost a good teacher. I don't know what the school will become in the future."
SAY.Chapter1.1035.Sophie,,这场悲剧，毁掉的可不止是一条性命。,This tragedy has destroyed more than one life.
SAY.Chapter1.1213.Protagonist,,为什么大家说的跟你的表述不太一样？似乎大家还是更愿意相信这就是一场意外。,Why is what everyone said is different from what you said? It seems that everyone is still more willing to believe that this was an accident.
SAY.Chapter1.1214.Sophie,,大家这么说了吗？也不怪他们，毕竟不这么说的后果挺严重。,"Did everyone say that? Don't blame them, after all, the consequences of not saying that are quite serious."
SAY.Chapter1.1215.Protagonist,,会有什么后果？,What are the consequences?
SAY.Chapter1.1216.Sophie,,两年前学校就下过命令，让学生不要乱传流言，一切以学校公告为准。,"The school issued an order two years ago to keep students from spreading rumors, and the school's announcement should represent the attitude of all students.."
SAY.Chapter1.1217.Sophie,,如果学生被发现表达了不同观点，会被以散播谣言与诋毁学校名声为理由开除。,"If a student is found to express a different point of view, they will be expelled on the grounds of spreading rumors and discrediting the school."
SAY.Chapter1.1218.Sophie,,尤其不能未经允许接受警方盘问，说了什么做了什么都要有辅导员陪同。,"In particular, you cannot accept police cross-examination without permission, and you must be accompanied by a counselor for everything you say and do."
SAY.Chapter1.1250.,,New Info:\nThe university has restricted students' speech.,New Info:\nThe university has restricted students' speech.
SAY.Chapter1.1219.Protagonist,,所以这就是你之前所说的“压力”？,"So this is what you called ""stress"" before?"
SAY.Chapter1.1220.Sophie,,是的，我们也只能用捐款活动这种暗示来间接表达抗议。,"Yes, we can only use the hint of donation activities to express protest indirectly."
MENU.Chapter1.1222,,你们真的非常具有勇气，挑战权威很不容易。,Challenging authority is not easy.
MENU.Chapter1.1223,,你们一定要保护好自己，不要引火上身。,Don't get into trouble.
SAY.Chapter1.985.Protagonist,,我看这个活动规模不小，占地面积又大，校方应该给了不少支持吧。,This activity is so grand. The school should have given a lot of support.
SAY.Chapter1.986.Anonymous Student,,我不是很清楚学校的具体态度。\n不过，这个活动确实花费了我们不少时间去做前期准备工作。,"I am not very clear about the specific attitude of the school. However, this event did take us a lot of time to do the preparatory work."
SAY.Chapter1.987.Anonymous Student,,至少我的同班同学从这学期一开始就在筹划，想来也是跟校方做了不少交涉。,"At least my classmates have been planning since the beginning of this semester, and they made a lot of negotiations with the school."
SAY.Chapter1.995.,,New Info:\nStudents have argued with the school multiple times.,New Info:\nStudents have argued with the school multiple times.
SAY.Chapter1.988.Protagonist,,辛苦了，这真是一个给人印象深刻的活动，对于你们来说也会是一段大学期间难忘的回忆吧。,"This is really an impressive activity, and for you, it will be an unforgettable memory during college."
SAY.Chapter1.1038.Protagonist,,收集到了一些新线索，要不要找之前卖花的学生问下她的观点？还是继续探索？,I have collected some new clues. Asking the student who sold flowers about her point of view? Or continue to explore?
SAY.Chapter1.1001.Protagonist,,学生能够有权力举办这样大规模的悼念活动吗？包括租界场地、购买花束、与反PUA组织联系并进行捐款？,"Can students have the right to hold such a large-scale mourning event? Including concession venues, buying bouquets, contacting anti-PUA organizations and making donations?"
SAY.Chapter1.1002.Anonymous Student,,九成都是学生自发组织的，毕竟Rebecca的死亡对于我们任何人来说都是一场遗憾。,"90% was organized spontaneously by students. After all, Rebecca's death is a pity for any of us."
SAY.Chapter1.1003.Anonymous Student,,不过最终还是最应该感谢Rochester教授，如果没有他与校方洽谈，恐怕我们也无法举办这场活动，更不要说在湖边这么引人瞩目的场所。,"But in the end, we should thank Professor Rochester the most. If he hadn’t negotiated with the school, I’m afraid we would not be able to hold this event."
SAY.Chapter1.1004.Protagonist,,Rochester 教授？这个姓氏听起来好熟悉……,Professor Rochester? This last name sounds familiar...
SAY.Chapter1.1005.Anonymous Student,,他是Rebecca的父亲，也是我们曾经的商学院院长。这次活动经费大半也是他赞助给我们。,He is Rebecca's father and the former dean of our business school. Most of the funds for this event were sponsored by him.
SAY.Chapter1.1008.,,New Info:\nRebecca's father used to be the department dean.,New Info:\nRebecca's father used to be the department dean.
SAY.Chapter1.1012.,,"New Character:\nRobert Rochester, Rebecca's father.","New Character:\nRobert Rochester, Rebecca's father."
SAY.Chapter1.1014.Protagonist,,原来如此。希望你们的活动能圆满举办，让大家毫无遗憾地毕业。,"I see. I hope that the event can be successfully held, so that everyone can graduate without regret."
SAY.Chapter1.1040.Protagonist,,收集到了一些新线索，要不要找之前卖花的学生问下她的观点？还是继续探索？,I have collected some new clues. Asking the student who sold flowers about her point of view? Or continue to explore?
SAY.Chapter1.1055.Protagonist,,这位同学，你也来悼念Rebecca吗？,"Hi, are you here to mourn Rebecca too?"
SAY.Chapter1.1056.Anonymous Student,,不，我只是路过并且顺便停下来看看而已，您是谁？,"No, I just passed by and stopped by to take a look, who are you?"
SAY.Chapter1.1057.Protagonist,,我是校报记者，准备针对这次活动写一次专题报道，能跟我讲讲你眼中的Rebecca吗？,"I am a school newspaper journalist, and I am going to write a special report on this event. Can you tell me about Rebecca in your eyes?"
SAY.Chapter1.1058.Anonymous Student,,校报？奇怪，我们学校从来都没有过校报。,"School newspaper? Strange, our school has never had a school newspaper."
MENU.Chapter1.1062,,这个月才创办，你不知道也是理所当然。,It was only founded this month.
MENU.Chapter1.1063,,只是一个拥有个位数成员的小组织。,Just a small organization with single-digit members.
SAY.Chapter1.1121.Protagonist,,我们能继续聊聊之前没说完的话题吗？关于Rebecca为什么能帮助这么多人。,Can we continue to talk about topics we haven't finished talking about before? About why Rebecca can help so many students?
SAY.Chapter1.1122.Anonymous Student,,你是指什么？对不起我不大记得我们谈的内容了。,"What do you mean? Sorry, I don’t remember much of what we talked about."
SAY.Chapter1.1123.Protagonist,,{i}（我有相关的信息能展开探讨吗？）{/i},{i}(Is there any relevant information that I can talk about?){/i}
